idustry,ans,rate
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.061
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyHMRCTimeToPayScheme,0.137
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyNoneOfTheAbove,0.398
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedWehaven'tReceivedAnyThatWeAppliedFor,0.206
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedAccreditedFinanceAgreements,0.123
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedBusinessRatesHoliday,0.201
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedCoronavirusJobRetentionScheme,0.757
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedDeferringVATPayments,0.637
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.218
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedHMRCTimeToPayScheme,0.205
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedWeHaveNotAppliedForAnyOfTheseInitiatives,0.139
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedAccreditedFinanceAgreements,0.017
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedBusinessRatesHoliday,0.12
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedCoronavirusJobRetentionScheme,0.28
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedDeferringVATPayments,0.469
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.144
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedHMRCTimeToPayScheme,0.147
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyAccreditedFinanceAgreements,0.09
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyBusinessRatesHoliday,0.089
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyCoronavirusJobRetentionScheme,0.401
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyDeferringVATPayments,0.227
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.063
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyHMRCTimeToPayScheme,0.102
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AdministrativeAndSupportServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyNoneOfTheAbove,0.45
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedWehaven'tReceivedAnyThatWeAppliedFor,0.176
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedAccreditedFinanceAgreements,0.183
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedBusinessRatesHoliday,0.572
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedCoronavirusJobRetentionScheme,0.763
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedDeferringVATPayments,0.612
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.18
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedHMRCTimeToPayScheme,0.331
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedWeHaveNotAppliedForAnyOfTheseInitiatives,0.126
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedAccreditedFinanceAgreements,0.043
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedBusinessRatesHoliday,0.45
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedCoronavirusJobRetentionScheme,0.219
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedDeferringVATPayments,0.435
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.108
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedHMRCTimeToPayScheme,0.255
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyAccreditedFinanceAgreements,0.108
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyBusinessRatesHoliday,0.122
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyCoronavirusJobRetentionScheme,0.41
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyDeferringVATPayments,0.212
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.058
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyHMRCTimeToPayScheme,0.104
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#ArtsEntertainmentAndRecreation,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyNoneOfTheAbove,0.392
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedWehaven'tReceivedAnyThatWeAppliedFor,0.27
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedAccreditedFinanceAgreements,0.096
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedBusinessRatesHoliday,0.135
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedCoronavirusJobRetentionScheme,0.809
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedDeferringVATPayments,0.599
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.06
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedHMRCTimeToPayScheme,0.287
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedWeHaveNotAppliedForAnyOfTheseInitiatives,0.117
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedAccreditedFinanceAgreements,0.018
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedBusinessRatesHoliday,0.057
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedCoronavirusJobRetentionScheme,0.291
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedDeferringVATPayments,0.443
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.021
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedHMRCTimeToPayScheme,0.234
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyAccreditedFinanceAgreements,0.11
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyBusinessRatesHoliday,0.032
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyCoronavirusJobRetentionScheme,0.429
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyDeferringVATPayments,0.174
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.05
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyHMRCTimeToPayScheme,0.096
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Construction,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyNoneOfTheAbove,0.422
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#Education,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedWehaven'tReceivedAnyThatWeAppliedFor,0.228
